Question Number,Question,Option A,Option B,Option C,Option D,Ans.
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.",Zero charges,Point charges,Single charge,No charges,B
2,What is the dielectric constant of a metal?,-1,0,1,Infinite,D
3,"————— gives the information on field strength, direction, and nature of the charge.",Electric current,Electric flux,Electric field,Electric potential,C
4,The work done in moving a unit positive test charge over a closed path in an electric field is _____________.,Always 1,Infinite,Zero,Negative,C
5,What happens when a glass rod is rubbed with silk?,gains protons from silk,gains electrons from silk,gives electrons to silk,gives protons to silk,A
6,What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?,W = MB (cos θ1/cos θ2),W = MB (cos θ1 + cos θ2),W = MB (cos θ1 – cos θ2),W = M+B (cos θ1 – cos θ2),C
7,The magnetic dipole moment of a magnetic dipole is given by the formula ________.,M = m × 2I,M = m + 2I,M = m – 2I,M = m / 2I,A
8,A freely suspended magnet aligns in which direction?,South-west,East-west,North-south,North-west,C
9,The power factor is one for which of the following?,Pure capacitor,Pure inductor,Pure resistor,All of the above,C
10,Which of the following statements is true about the LCR circuit connected to an AC source at resonance?,Voltage across R equals the applied voltage.,Voltage across R is zero.,Voltage across C is zero.,Voltage across L equals the applied voltage.,A
11,How can the fringe width increase in Young’s double-slit experiment?,By decreasing the width of the slit,By reducing the separation of slits,By reducing the wavelength of the slits,By decreasing the distance between slits and the screen,B
12,Which of the following light phenomena confirms the transverse nature of light?,Refraction of light,Diffraction of light,Dispersion of light,Polarization of light,D
13,Polaroid glasses are used in sunglasses because,They are cheaper,They have a good colour,They look fashionable,They reduce the light intensity to half on account of polarization,D
14,Which of the following does the wave theory of light not explain?,Diffraction,Photocurrent,Polarization,Interference,B
15,Which of the following is conserved when light waves interfere?,Intensity,Amplitude,Phase,None of the above,D
16,What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?,Converging spherical,Diverging spherical,Plane,None of the above,A
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are",Isotones,Isotopes,Isomers,Isobars,D
18,A nucleus undergoes gamma decay due to,Excess of neutrons,Excess of protons,Its excited state,Large mass,D
19,Isotones have the same number of,Protons,Electrons,Neutrons,All of the above,C
20,What is the phase difference between electric and magnetic fields in an electromagnetic wave?,0,π,π/2,π/4,B